First ,Last,StreetAddress,City,State,ZipCode,Gender,Birthday,Age,Telephone Number
Jason,Brunet,2259 Whaley Lane,Colorado Springs,CO,80918,male,2/28/36,79,719-558-6389
Steven,Bryant,206 Edington Drive,Colorado Springs,CO,80918,male,9/21/56,58,719-755-2639
Adriene,Buffington,269 Murphy Court,Colorado Springs,CO,80918,female,8/27/81,33,719-242-3679
Louise,Burke,1688 White Pine Lane,Colorado Springs,CO,80918,female,5/7/45,70,719-672-6773
Oliver,Burris,4511 Stonecoal Road,Colorado Springs,CO,80918,male,3/14/69,46,719-606-1821
Kevin,Burroughs,4066 Huntz Lane,Colorado Springs,CO,80918,male,9/12/62,52,719-628-3717
Casandra,Bush,474 Round Table Drive,Colorado Springs,CO,80918,female,1/14/84,31,719-830-2869
Elvia,Bushong,3409 Star Route,Colorado Springs,CO,80918,female,10/23/38,76,719-657-3297
Helen,Bussey,4906 O Conner Street,Colorado Springs,CO,80918,female,8/5/41,73,719-872-4141
James,Byrd,2688 Hartland Avenue,Colorado Springs,CO,80918,male,5/3/92,23,719-325-2937
Michael,Campbell,1716 Prospect Valley Road,Colorado Springs,CO,80918,male,12/8/83,31,719-882-2528
Maria,Campbell,2934 Heron Way,Colorado Springs,CO,80918,female,8/17/48,66,719-791-0625
Dale,Carey,4255 Sugarfoot Lane,Colorado Springs,CO,80918,male,10/29/30,84,719-439-6406
Margaret,Carey,4096 Boring Lane,Colorado Springs,CO,80918,female,1/3/84,31,719-668-3636
Johnny,Carter,410 Maloy Court,Colorado Springs,CO,80918,male,4/9/49,66,719-434-3475
Jesse,Carter,1821 Rinehart Road,Colorado Springs,CO,80918,male,5/30/58,57,719-362-4283
Dagny,Carter,2343 Mill Street,Colorado Springs,CO,80918,female,8/27/32,82,719-987-5147
Julio,Castillo,2232 Layman Court,Colorado Springs,CO,80918,male,11/13/90,24,719-376-3437
Donna,Castillo,1416 Aaron Smith Drive,Colorado Springs,CO,80918,female,5/21/43,72,719-794-7975
Thelma,Castro,4976 Pineview Drive,Colorado Springs,CO,80918,female,11/23/71,43,719-856-8761
Mary,Chappelle,2958 Walnut Avenue,Colorado Springs,CO,80918,female,5/13/89,26,719-477-1210
Donald,Charles,53 Rebecca Street,Colorado Springs,CO,80918,male,7/13/52,62,719-737-9817
Georgia,Chiles,2740 John Daniel Drive,Colorado Springs,CO,80918,female,6/23/43,72,719-641-0995
Patricia,Christensen,3275 Lawman Avenue,Colorado Springs,CO,80918,female,2/13/31,84,719-270-1645
William,Christopherso,3927 Mcwhorter Road,Colorado Springs,CO,80918,male,10/24/75,39,719-472-0348
Kathleen,Clark,3026 Buck Drive,Colorado Springs,CO,80918,female,3/25/82,33,719-933-4117
Todd,Clausen,1140 Vineyard Drive,Colorado Springs,CO,80918,male,12/26/73,41,719-387-7273
Hector,Cohen,2584 Emeral Dreams Drive,Colorado Springs,CO,80918,male,8/10/38,76,719-246-3323
Judy,Cole,4583 Kincheloe Road,Colorado Springs,CO,80918,female,10/20/83,31,719-455-4670
Terri,Collins,2886 Lowndes Hill Park Road,Colorado Springs,CO,80918,female,4/15/44,71,719-459-0747
Felicia,Collins,3435 Romines Mill Road,Colorado Springs,CO,80918,female,11/28/42,72,719-601-8881
Maximo,Colwell,3077 Snider Street,Colorado Springs,CO,80918,male,11/11/30,84,719-255-5590
Brandy,Compton,3680 Clinton Street,Colorado Springs,CO,80918,female,7/4/81,33,719-283-0701
Kathryn,Cook,4720 Ashmor Drive,Colorado Springs,CO,80918,female,6/3/57,58,719-316-4772
Maria,Copeland,27 Fincham Road,Colorado Springs,CO,80918,female,12/12/47,67,719-546-5255
Sarah,Cornelius,1837 Retreat Avenue,Colorado Springs,CO,80918,female,1/7/55,60,719-310-1966
Frances,Corpuz,2433 Jerry Dove Drive,Colorado Springs,CO,80918,female,5/10/96,19,719-465-2311
Willie,Cox,1534 Raver Croft Drive,Colorado Springs,CO,80918,male,12/4/61,53,719-685-9445
Guadalupe,Cox,264 Edgewood Avenue,Colorado Springs,CO,80918,female,3/10/66,49,719-288-3452
Danielle,Craig,1909 Lakewood Drive,Colorado Springs,CO,80918,female,12/21/61,53,719-812-8364
Joseph,Cropper,4913 Elk Street,Colorado Springs,CO,80918,male,6/24/88,26,719-630-7301
Dennis,Croteau,699 Rocket Drive,Colorado Springs,CO,80918,male,3/11/80,35,719-804-5230
Melvin,Crouse,4797 Lawman Avenue,Colorado Springs,CO,80918,male,10/14/54,60,719-221-8864
Anthony,Crowson,4 Swick Hill Street,Colorado Springs,CO,80918,male,2/10/85,30,719-871-8108
Carl,Cunha,4551 Patterson Street,Colorado Springs,CO,80918,male,11/2/44,70,719-286-2107
Anthony,Daniel,1991 Everette Alley,Colorado Springs,CO,80918,male,10/14/74,40,719-857-2255
Sherry,Daugherty,2590 Ottis Street,Colorado Springs,CO,80918,female,4/18/93,22,719-324-3992
Robert,Davis,2242 Hinkle Deegan Lake Road,Colorado Springs,CO,80918,male,12/31/86,28,719-926-8595
Saturnina,Davis,3207 Tree Frog Lane,Colorado Springs,CO,80918,female,1/3/42,73,719-476-8769
Robin,Davis,4901 Colony Street,Colorado Springs,CO,80918,female,10/18/49,65,719-323-1875
Rosalyn,Davis,2861 Bryan Street,Colorado Springs,CO,80918,female,5/26/62,53,719-238-0454
Greta,Dawson,4770 Agriculture Lane,Colorado Springs,CO,80918,female,11/28/56,58,719-219-8528
James,Day,1374 Ventura Drive,Colorado Springs,CO,80918,male,9/24/29,85,719-255-3081
Lewis,Delaney,4546 Providence Lane,Colorado Springs,CO,80918,male,4/22/46,69,719-790-5078
Tammy,Derrickson,540 Philli Lane,Colorado Springs,CO,80918,female,6/20/45,70,719-513-7831
James,Dessert,444 Sundown Lane,Colorado Springs,CO,80918,male,2/27/93,22,719-250-1349
Kathleen,Devault,4155 Ash Avenue,Colorado Springs,CO,80918,female,8/13/65,49,719-862-7503
Alan,Dewitt,1494 Saint Clair Street,Colorado Springs,CO,80918,male,5/6/74,41,719-566-1247
Randall,Dick,1620 Roosevelt Street,Colorado Springs,CO,80918,male,7/21/83,31,719-364-4364
Mickey,Dickens,664 Sycamore Circle,Colorado Springs,CO,80918,male,9/10/95,19,719-323-1834
Bobbie,Dipasquale,3213 College Avenue,Colorado Springs,CO,80918,female,1/17/73,42,719-443-9783
Linda,Dixon,236 Gambler Lane,Colorado Springs,CO,80918,female,1/15/52,63,719-863-7752
Barbara,Doman,771 Kuhl Avenue,Colorado Springs,CO,80918,female,7/23/31,83,719-735-1023
Lisa,Donoghue,4728 Hazelwood Avenue,Colorado Springs,CO,80918,female,11/30/76,38,719-438-5991
Gilda,Douglas,3218 Wexford Way,Colorado Springs,CO,80918,female,12/3/57,57,719-352-0947
Mildred,Drozd,2221 New Creek Road,Colorado Springs,CO,80918,female,3/19/74,41,719-932-0364
Jeffrey,Dudek,1488 Evergreen Lane,Colorado Springs,CO,80918,male,10/7/42,72,719-634-1292
Florrie,Duquette,280 Fleming Street,Colorado Springs,CO,80918,female,6/21/47,68,719-367-6969
Joshua,Eakins,3095 Bruce Street,Colorado Springs,CO,80918,male,8/16/64,50,719-271-7793
Christopher,Earnhardt,2142 Colony Street,Colorado Springs,CO,80918,male,3/13/91,24,719-328-7976
Rachel,Edmunds,3252 Adonais Way,Colorado Springs,CO,80918,female,5/16/71,44,719-431-5077
Terry,Eldredge,2433 River Road,Colorado Springs,CO,80918,male,12/16/83,31,719-529-3855
Richard,Ellis,1978 Chicago Avenue,Colorado Springs,CO,80918,male,4/25/80,35,719-642-4824
James,Erickson,4441 Ashton Lane,Colorado Springs,CO,80918,male,7/7/35,79,719-469-2830
Tyler,Eugene,1614 Pyramid Valley Road,Colorado Springs,CO,80918,male,1/11/33,82,719-643-8802
Steven,Evans,2719 Pine Garden Lane,Colorado Springs,CO,80918,male,9/14/47,67,719-724-9640
Bernadine,Everett,817 Meadowcrest Lane,Colorado Springs,CO,80918,female,5/5/31,84,719-521-9323
Angela,Farmer,623 Colonial Drive,Colorado Springs,CO,80918,female,10/8/71,43,719-679-6592
Della,Faust,2627 Broad Street,Colorado Springs,CO,80918,female,10/4/47,67,719-482-2995
Earl,Fernandez,3162 Timbercrest Road,Colorado Springs,CO,80918,male,5/17/46,69,719-694-9712
William,Fincher,3835 Augusta Park,Colorado Springs,CO,80918,male,4/8/54,61,719-736-2839
Gerardo,Fink,583 White Avenue,Colorado Springs,CO,80918,male,10/9/31,83,719-722-7367
Frank,Fischer,182 Fairmont Avenue,Colorado Springs,CO,80918,male,2/24/81,34,719-235-8831
Jamie,Fleming,1892 Pride Avenue,Colorado Springs,CO,80918,female,10/12/92,22,719-363-0911
Julian,Flowers,4735 Wilkinson Street,Colorado Springs,CO,80918,male,1/15/63,52,719-378-6042
Nia,Foreman,2279 Desert Broom Court,Colorado Springs,CO,80918,female,6/19/88,27,719-758-6947
George,Foster,3210 Oakmound Drive,Colorado Springs,CO,80918,male,9/3/62,52,719-425-4125
Beverly,Foster,385 Leverton Cove Road,Colorado Springs,CO,80918,female,12/10/41,73,719-320-7830
Nicole,Frandsen,1636 Alexander Avenue,Colorado Springs,CO,80918,female,3/30/68,47,719-606-1095
Grady,Franks,2011 Isaacs Creek Road,Colorado Springs,CO,80918,male,5/25/59,56,719-422-0407
Lanette,Franks,3148 Forest Drive,Colorado Springs,CO,80918,female,4/4/83,32,719-927-1768
Edith,Frazier,3718 Fairfax Drive,Colorado Springs,CO,80918,female,11/21/80,34,719-219-6056
Richard,Frederick,1025 Spring Avenue,Colorado Springs,CO,80918,male,7/17/95,19,719-684-6254
Crystal,Fritz,4642 Twin House Lane,Colorado Springs,CO,80918,female,1/28/39,76,719-533-3782
Robert,Fuller,4133 Oakwood Circle,Colorado Springs,CO,80918,male,7/29/86,28,719-376-6425
Herschel,Funk,1931 Charmaine Lane,Colorado Springs,CO,80918,male,9/7/76,38,719-567-1982
Robert,Funk,3903 Carriage Lane,Colorado Springs,CO,80918,male,10/2/65,49,719-295-2716
Joseph,Gabaldon,3100 Twin House Lane,Colorado Springs,CO,80918,male,9/3/45,69,719-498-6501
Eloise,Gallagher,2611 Jewell Road,Colorado Springs,CO,80918,female,7/17/49,65,719-715-6445
Danielle,Garcia,1142 Fowler Avenue,Colorado Springs,CO,80918,female,7/24/41,73,719-225-6824
Thomas,Garrett,1910 Pearcy Avenue,Colorado Springs,CO,80918,male,8/1/62,52,719-206-8937
Cecil,Garrett,734 Walt Nuzum Farm Road,Colorado Springs,CO,80918,male,12/24/29,85,719-346-5197
Stanley,Garwood,1260 Havanna Street,Colorado Springs,CO,80918,male,8/1/82,32,719-389-7698
Eugene,Gast,3401 Woodlawn Drive,Colorado Springs,CO,80918,male,1/26/88,27,719-627-7507
Avis,Gates,1646 College Avenue,Colorado Springs,CO,80918,female,11/13/53,61,719-376-0260
Scott,Gatewood,3138 Seth Street,Colorado Springs,CO,80918,male,5/13/74,41,719-439-3002
Cathy,Geisler,2354 May Street,Colorado Springs,CO,80918,female,12/23/92,22,719-308-8960
Roy,Gentry,3386 Cost Avenue,Colorado Springs,CO,80918,male,7/2/30,85,719-498-5482
Mary,Gibson,1655 Berkshire Circle,Colorado Springs,CO,80918,female,11/2/39,75,719-742-2024
David,Giddens,3159 John Daniel Drive,Colorado Springs,CO,80918,male,5/1/90,25,719-626-4220
Roy,Gomez,884 Mandan Road,Colorado Springs,CO,80918,male,7/14/93,21,719-774-9950
John,Grady,4907 New Street,Colorado Springs,CO,80918,male,5/30/60,55,719-272-8148
Penelope,Gray,1375 Fannie Street,Colorado Springs,CO,80918,female,8/8/53,61,719-237-5927
David,Green,3770 Crummit Lane,Colorado Springs,CO,80918,male,5/15/52,63,719-264-4845
Barney,Green,844 Red Dog Road,Colorado Springs,CO,80918,male,6/7/52,63,719-339-2497
Philip,Greenspan,2022 Elmwood Avenue,Colorado Springs,CO,80918,male,7/23/91,23,719-883-4974
Angela,Griffeth,125 McDowell Street,Colorado Springs,CO,80918,female,10/25/90,24,719-382-7731
Christopher,Griffin,450 Brannon Street,Colorado Springs,CO,80918,male,5/8/48,67,719-330-3722
Helen,Griffin,2306 Courtright Street,Colorado Springs,CO,80918,female,8/20/48,66,719-610-3779
Ann,Grove,1140 Wilmar Farm Road,Colorado Springs,CO,80918,female,4/19/88,27,719-266-1206
Robert,Gunter,3010 Lang Avenue,Colorado Springs,CO,80918,male,2/24/49,66,719-856-9057
Robert,Guthrie,777 Coolidge Street,Colorado Springs,CO,80918,male,10/20/64,50,719-983-2115
Steve,Gutierez,3958 Roosevelt Street,Colorado Springs,CO,80918,male,5/31/45,70,719-401-0700
Randy,Guzman,2910 Union Street,Colorado Springs,CO,80918,female,3/19/67,48,719-715-5627
Ursula,Hale,2718 Pooz Street,Colorado Springs,CO,80918,female,11/28/79,35,719-203-8411
Edward,Halford,3598 Sumner Street,Colorado Springs,CO,80918,male,8/16/58,56,719-646-3706
James,Hall,3383 Clark Street,Colorado Springs,CO,80918,male,1/28/72,43,719-224-8279
Willie,Hall,2239 Marshall Street,Colorado Springs,CO,80918,male,3/21/60,55,719-718-1251
Colleen,Hamer,4741 Liberty Street,Colorado Springs,CO,80918,female,10/14/77,37,719-878-3892
Arleen,Hammonds,4962 Elk Avenue,Colorado Springs,CO,80918,female,9/3/37,77,719-523-0163
Marcelo,Hansen,4374 Polk Street,Colorado Springs,CO,80918,male,12/9/86,28,719-829-2470
Allen,Hanson,693 Mapleview Drive,Colorado Springs,CO,80918,male,8/16/82,32,719-265-6557
Bernadine,Hardiman,712 Grand Avenue,Colorado Springs,CO,80918,female,11/29/35,79,719-809-8172
Cedric,Hardy,2519 Locust Court,Colorado Springs,CO,80918,male,1/27/40,75,719-426-2318
Robert,Hargrove,3989 Washington Avenue,Colorado Springs,CO,80918,male,7/29/69,45,719-995-7633
Raymond,Harman,3045 Giraffe Hill Drive,Colorado Springs,CO,80918,male,4/27/38,77,719-330-7711
Joan,Harrell,93 Tea Berry Lane,Colorado Springs,CO,80918,female,3/25/57,58,719-735-7112
Margie,Harris,4883 Stoneybrook Road,Colorado Springs,CO,80918,female,8/17/68,46,719-640-2869
Jennifer,Harris,4030 Woodland Avenue,Colorado Springs,CO,80918,female,2/25/54,61,719-536-1575
Alfred,Harris,947 Woodland Avenue,Colorado Springs,CO,80918,male,8/19/50,64,719-743-0233
Diane,Harris,3941 Meadowcrest Lane,Colorado Springs,CO,80918,female,3/2/71,44,719-423-0944
Wendy,Harris,3161 Hillcrest Avenue,Colorado Springs,CO,80918,female,7/18/67,47,719-883-8287
Juan,Harris,384 Poplar Street,Colorado Springs,CO,80918,male,7/23/60,54,719-755-5029
Carrie,Harvell,125 Meadow View Drive,Colorado Springs,CO,80918,female,4/25/95,20,719-536-4509
Carlos,Hash,1057 Dale Avenue,Colorado Springs,CO,80918,male,10/24/68,46,719-732-5837
Theresa,Hawley,4011 Stiles Street,Colorado Springs,CO,80918,female,10/8/49,65,719-594-1183
Ruth,Hayes,399 Buckhannan Avenue,Colorado Springs,CO,80918,female,12/15/69,45,719-448-4860
Kimberly,Haywood,170 Friendship Lane,Colorado Springs,CO,80918,female,6/26/95,19,719-615-3029
Sharon,Hein,1634 Upton Avenue,Colorado Springs,CO,80918,female,1/31/92,23,719-879-2611
Winnie,Heinz,3031 Heron Way,Colorado Springs,CO,80918,female,2/7/66,49,719-798-5792
Frederick,Hendricks,3888 Main Street,Colorado Springs,CO,80918,male,7/4/35,80,719-741-9626
Mary,Henke,3105 Hilltop Haven Drive,Colorado Springs,CO,80918,female,12/22/48,66,719-806-5854
Columbus,Henthorn,215 Apple Lane,Colorado Springs,CO,80918,male,8/17/63,51,719-286-3473
Lois,Hernandez,3358 Simpson Square,Colorado Springs,CO,80918,female,9/8/38,76,719-650-7452
Michael,Hernandez,4001 Davis Avenue,Colorado Springs,CO,80918,male,3/28/84,31,719-739-4331
Clarice,Hernandez,3594 Vine Street,Colorado Springs,CO,80918,female,4/9/67,48,719-667-7661
Eileen,Hibbs,4568 McDonald Avenue,Colorado Springs,CO,80918,female,12/13/60,54,719-831-2405
Ronald,Hickman,1483 Prudence Street,Colorado Springs,CO,80918,male,9/18/88,26,719-340-0925
Shannon,Hodges,1811 Cooks Mine Road,Colorado Springs,CO,80918,female,2/9/78,37,719-762-2812
Travis,Hofer,4425 Scheuvront Drive,Colorado Springs,CO,80918,male,12/28/58,56,719-456-4665
Erin,Hoffman,2391 Locust View Drive,Colorado Springs,CO,80918,female,8/25/87,27,719-891-5604
Margaret,Holland,1300 Polk Street,Colorado Springs,CO,80918,female,1/20/41,74,719-796-0986
Joshua,Hollowell,3579 Wildrose Lane,Colorado Springs,CO,80918,male,4/27/72,43,719-854-9829
John,Holly,1430 Flynn Street,Colorado Springs,CO,80918,male,5/23/49,66,719-986-8305
Lori,Houle,1965 West Fork Drive,Colorado Springs,CO,80918,female,8/30/60,54,719-509-6673
Helen,Hove,466 Pooz Street,Colorado Springs,CO,80918,female,1/16/55,60,719-277-6854
Helen,Howe,607 Rivendell Drive,Colorado Springs,CO,80918,female,9/15/95,19,719-829-1820
Keith,Hugo,1816 Late Avenue,Colorado Springs,CO,80918,male,2/26/84,31,719-741-4178
Velma,Humble,2359 Douglas Dairy Road,Colorado Springs,CO,80918,female,7/11/50,64,719-647-3389
Louise,Hunsicker,587 Raccoon Run,Colorado Springs,CO,80918,female,5/6/61,54,719-816-0807
Luther,Hunt,465 Adams Drive,Colorado Springs,CO,80918,male,7/12/87,27,719-316-4428
Elease,Hunt,3963 Poplar Chase Lane,Colorado Springs,CO,80918,female,11/27/85,29,719-359-9050
Larissa,Hurley,637 Bassell Avenue,Colorado Springs,CO,80918,female,8/11/86,28,719-722-1287
Kathryn,Hurley,4719 Wilson Avenue,Colorado Springs,CO,80918,female,9/13/85,29,719-474-5905
Kathryn,Hurst,4001 Carter Street,Colorado Springs,CO,80918,female,8/16/68,46,719-749-9969
Steven,Hutcherson,4843 Gateway Avenue,Colorado Springs,CO,80918,male,5/5/78,37,719-869-0283
Ronnie,Ibrahim,3266 Foley Street,Colorado Springs,CO,80918,male,2/28/52,63,719-652-4440
Katherine,Ingram,2596 Wayside Lane,Colorado Springs,CO,80918,female,5/17/60,55,719-272-1342
Edward,Ippolito,3583 Cherry Ridge Drive,Colorado Springs,CO,80918,male,11/10/90,24,719-273-5258
Roland,Irving,1074 Cabell Avenue,Colorado Springs,CO,80918,male,11/24/67,47,719-520-9687
Roger,Jackson,370 Walnut Avenue,Colorado Springs,CO,80918,male,4/8/81,34,719-517-1286
Norman,Jackson,4321 Broadway Avenue,Colorado Springs,CO,80918,male,1/29/39,76,719-742-5782
Leslie,Jensen,606 Bobcat Drive,Colorado Springs,CO,80918,female,4/7/62,53,719-773-2549
Bradley,Jewell,487 Swick Hill Street,Colorado Springs,CO,80918,male,5/28/96,19,719-206-5093
Audrey,Johnson,710 Despard Street,Colorado Springs,CO,80918,female,1/4/39,76,719-658-8167
Lydia,Johnson,1368 Bryan Street,Colorado Springs,CO,80918,female,4/30/42,73,719-231-2983
Clifford,Johnson,252 Sunrise Road,Colorado Springs,CO,80918,male,6/5/47,68,719-845-7570
James,Johnson,4853 Rocky Road,Colorado Springs,CO,80918,male,7/2/56,58,719-615-9926
Dustin,Johnson,4473 Ingram Road,Colorado Springs,CO,80918,male,5/18/55,60,719-560-3131
Sean,Johnson,1723 Simpson Square,Colorado Springs,CO,80918,male,3/20/56,59,719-618-7270
Kenneth,Judkins,2733 Bicetown Road,Colorado Springs,CO,80918,male,1/10/34,81,719-368-4243
Daniel,Julien,2020 Finwood Road,Colorado Springs,CO,80918,male,11/4/53,61,719-491-4836
Luis,Justice,4306 Oliverio Drive,Colorado Springs,CO,80918,male,12/29/90,24,719-632-7530
Charles,Kearney,4119 Logan Lane,Colorado Springs,CO,80918,male,5/15/47,68,719-276-7732
Albert,Keefe,4707 Hilltop Drive,Colorado Springs,CO,80918,male,3/31/94,21,719-364-0796
Andrew,Keene,3428 Cottrill Lane,Colorado Springs,CO,80918,male,6/16/55,60,719-480-2573
John,Keister,4745 Hart Country Lane,Colorado Springs,CO,80918,male,2/20/39,76,719-554-1388
Jodi,Kelley,4261 Eagle Street,Colorado Springs,CO,80918,female,4/2/50,65,719-390-9702
Jorge,Kelley,3898 Mercer Street,Colorado Springs,CO,80918,male,2/13/56,59,719-663-5132
Robert,Kelly,2614 Lords Way,Colorado Springs,CO,80918,male,11/13/88,26,719-663-8825
Crystal,Kemp,2081 Willow Oaks Lane,Colorado Springs,CO,80918,female,8/26/93,21,719-305-2638
Norman,Kent,3855 Layman Court,Colorado Springs,CO,80918,male,1/28/32,83,719-366-7662
Linda,Kessler,4079 Clover Drive,Colorado Springs,CO,80918,female,4/5/33,82,719-243-4039
Corey,Khan,514 Fincham Road,Colorado Springs,CO,80918,male,8/14/50,64,719-508-3899
Marcie,King,1779 Broaddus Avenue,Colorado Springs,CO,80918,female,3/27/32,83,719-222-2475
Doris,Kissee,1813 Johnson Street,Colorado Springs,CO,80918,female,2/28/51,64,719-926-6135
Chris,Kittel,149 Aaron Smith Drive,Colorado Springs,CO,80918,male,10/18/31,83,719-712-8921
Thurman,Knox,1889 Fieldcrest Road,Colorado Springs,CO,80918,male,5/30/41,74,719-865-3716
Deborah,Kraft,1854 School Street,Colorado Springs,CO,80918,female,2/20/53,62,719-769-6323
Robyn,Lacour,424 Davis Court,Colorado Springs,CO,80918,female,3/22/83,32,719-934-4343
Susan,Landry,4666 McVaney Road,Colorado Springs,CO,80918,female,3/10/77,38,719-296-3001
Gerald,Lavigne,2103 Wexford Way,Colorado Springs,CO,80918,male,7/5/95,19,719-366-2209
Scott,Law,3972 Irving Road,Colorado Springs,CO,80918,male,12/14/82,32,719-470-5424
Donna,Lawrence,1844 Highland Drive,Colorado Springs,CO,80918,female,5/27/40,75,719-713-8414
Melonie,Lawrence,1499 Rebecca Street,Colorado Springs,CO,80918,female,1/8/64,51,719-769-4454
Debra,Le,2438 Dovetail Estates,Colorado Springs,CO,80918,female,2/7/81,34,719-966-8777
Dorothy,Lee,1194 Mayo Street,Colorado Springs,CO,80918,female,11/23/46,68,719-805-1792
James,Lee,4596 Jerry Dove Drive,Colorado Springs,CO,80918,male,10/25/38,76,719-431-9641
Edward,Lenard,3312 Crim Lane,Colorado Springs,CO,80918,male,6/7/84,31,719-848-6475
Mary,Lewis,2310 Poplar Street,Colorado Springs,CO,80918,female,1/15/76,39,719-728-5070
Matthew,Lightfoot,2882 Hampton Meadows,Colorado Springs,CO,80918,male,11/5/95,19,719-346-3194
Jessie,Linderman,1056 Yorkie Lane,Colorado Springs,CO,80918,female,11/12/50,64,719-687-3575
Henry,Long,2852 Progress Way,Colorado Springs,CO,80918,male,5/31/74,41,719-244-6057
Phoebe,Lopez,2009 Timber Ridge Road,Colorado Springs,CO,80918,female,10/20/69,45,719-806-5377
Erik,Love,524 Ridenour Street,Colorado Springs,CO,80918,male,10/22/90,24,719-220-6876
Kristen,Lozano,4976 Ferrell Street,Colorado Springs,CO,80918,female,5/17/79,36,719-372-9235
Stacey,Lu,4921 Boring Lane,Colorado Springs,CO,80918,female,6/13/55,60,719-679-6162
Olga,Lundquist,411 East Avenue,Colorado Springs,CO,80918,female,12/10/81,33,719-231-7832
Elsie,Mack,1190 Jody Road,Colorado Springs,CO,80918,female,8/14/56,58,719-574-1356
Steven,Maggard,4411 Lynn Avenue,Colorado Springs,CO,80918,male,3/11/64,51,719-568-4593
Michelle,Manson,4712 Haul Road,Colorado Springs,CO,80918,female,6/6/66,49,719-220-8521
Joel,Manson,548 Bingamon Road,Colorado Springs,CO,80918,male,2/17/67,48,719-465-1708
Marina,Mantz,2226 Allison Avenue,Colorado Springs,CO,80918,female,12/4/75,39,719-556-6963
